KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
lcsh,Library of Congress Subject Headings,,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
lcsubjects,LCSubjects.org Library of Congress Subject Headings,,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.06
ldt@library,Linked Open Data Taiwan @ Library,https://ld.ncl.edu.tw/graph.jsp,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
libris,LIBRIS,http://libris.kb.se/sparql,1,0.2,1,0.67,0,1,0.64,1,1,1,1,1,1,0,0,1,0.5,1,1,1,0,0.75,2.89
libver,Public Library of Veroia,http://libver.math.auth.gr/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
linkedlccn,LinkedLCCN,http://api.talis.com/stores/rsinger-dev4/services/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
linkedmdb,Linked Movie DataBase,http://data.linkedmdb.org/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.34
lista-encabezamientos-materia,Lista de  Encabezamientos de Materia as Linked Open Data,http://id.sgcb.mcu.es/sparql,1,0,1,0.56,0,1,0.59,0.5,1,0,1,0.62,1,0,0,1,0.5,1,1,1,0,0.75,2.46
LucaniPharsalia,Lucani Pharsalia in LiLa,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,1,0,1,0.75,1,1,1,1,1,3.28
massobservationarchivecatalogue,Mass Observation Archive catalogue,http://api.talis.com/stores/massobservation/services/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.07
mismuseos-gnoss,"Mis Museos, índice semántico de museos, artistas y obras de arte (GNOSS)",,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
muninn-world-war-i,Muninn World War I,http://rdf.muninn-project.org/sparql,1,0,1,0.89,0,1,0.65,1,1,0,1,0.75,1,1,0.42,1,0.86,1,1,1,1,1,3.26
museosespania-gnoss,"Museos de España, colección de museos públicos y privados españoles (GNOSS)",,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,1,0,1,0.75,1,1,1,1,1,3.09
museums-in-italy,Italian Museums,http://sparql.linkedopendata.it/musei,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
muziekweb,Muziekweb,https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb,1,0,1,0.67,0,1,0.61,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.36
national-library-of-greece-authority-records,National Library of Greece Authority Records,http://nlg.okfn.gr/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
nlr-dataset-mod,National Library of Russia BibCore Dataset,,1,0,1,0.33,0,1,0.56,1,1,0,1,0.75,1,0,0,0,0.25,0,1,1,0,0.5,2.06
nom,Nomenclature for Museum Cataloging,https://nomenclature.info/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
nomisma_org,Nomisma.org ,http://nomisma.org/query,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
ntnusc,NTNU special collections,http://api.talis.com/stores/gunnbib-digitalmanuskripter/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
open-library,Open Library,,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
orlando-womens-writing-linked-open-data-set,The Orlando Women's Writing Linked Open Data Set,http://sparql.cwrc.ca/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
pali-english-lexicon,Pali English Lexicon,http://api.kasabi.com/dataset/pali-english-lexicon/apis/sparql,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,1,0,0,0.5,1,1,1,1,1,2.84
periodo,PeriodO Period Gazetteer,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
pleiades,Pleiades,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
polymath-virtual-library,Polymath Virtual Library (Authority data) - Fundación Ignacio Larramendi,,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.32
prelinger_archives,Prelinger Archives,http://api.kasabi.com/dataset/prelinger-archives/apis/sparql,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,1,0,0,0.5,1,1,1,1,1,2.84
princeton-library-findingaids,Princeton Library FindingAids,,1,0,1,0.33,0,1,0.56,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.31
printed-book-auction-catalogues,English Language Books listed in Printed Book Auction Catalogues from 17th Century Holland,http://api.talis.com/stores/pbac/services/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
Querolus,Querolus in LiLa,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,1,0,1,0.75,1,1,1,1,1,3.28
radatana,Rådata nå!,http://data.bibsys.no/data/query_authority.html,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
rainis-and-aspazija-linked-digital-collection,"""Rainis and Aspazija"" Linked Digital Collection",,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
rdfize-lastfm,"Last.FM RDFization of Events, Artists, and Users",,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,1,0,1,0.75,0,1,1,1,0.75,2.56
rism,Répertoire International des Sources Musicales - RISM,http://data.rism.info/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
rism-authorities,RISM Authority data,http://data.rism.info/sparql,1,0,1,0.67,0,1,0.61,1,1,1,1,1,1,0,0,1,0.5,1,1,1,0,0.75,2.86
roceeh-road,ROCEEH Out of Africa Database (ROAD),http://www.roceeh.uni-tuebingen.de:3030/road/sparql,1,0,1,0.44,0,1,0.57,1,1,1,1,1,1,0,0,1,0.5,1,1,1,0,0.75,2.82
sandrart-net,sandrart.net,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
Sherry_Wine,Sherry Wine Vocabulary,,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.06
Sherry_Wine_,Sherry Wine,,1,0,1,0.22,0,1,0.54,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.04
slod,Linked Stage Graph,http://slod.fiz-karlsruhe.de/sparql,1,0.893,1,0.44,0,1,0.72,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.47
srcmf,Syntactic Reference Corpus of Medieval French (SRCMF),,1,0,1,0.33,0,1,0.56,1,1,0,1,0.75,1,0,0,0,0.25,0,1,1,0,0.5,2.06
stitch-rameau,RAMEAU subject headings (STITCH),,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
surge-radio,Surge Radio,,1,0,1,0.22,0,1,0.54,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.04
swedish-open-cultural-heritage,Swedish Open Cultural Heritage,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
sztaki-lod,National Digital Data Archive of Hungary (partial),http://lod.sztaki.hu/sparql,1,0,1,0.67,0,1,0.61,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.36
talis-openlibrary,Open Library data mirror in the Talis Platform,,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.34
the-european-library-open-dataset,The European Library Open Dataset,https://sparql.europeana.eu/,1,0,1,0.67,0,1,0.61,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.36
the-view-from,The View From,http://api.talis.com/stores/theviewfrom/services/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,1,0,1,0.75,0,1,1,1,0.75,2.57
thesaurus-w,Thesaurus W for Local Archives,http://www.archivesdefrance.culture.gouv.fr/thesaurus/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
tip,TIP,http://lod.apc.gov.tw/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
ub-mannheim-linked-data,Linked Data Service der Universitätsbibliothek Mannheim,http://data.bib.uni-mannheim.de/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
UDante,UDante in LiLa,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,1,0,1,0.75,1,1,1,1,1,3.28
viaf,VIAF: The Virtual International Authority File,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
warsampo,WarSampo,http://ldf.fi/warsa/sparql,1,1,1,0.78,0,1,0.8,1,1,1,1,1,1,1,0.79,1,0.95,1,1,1,1,1,3.75
wasabi,WASABI RDF Knowledge Graph,http://wasabi.inria.fr/sparql,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,0.53,1,0.88,1,1,1,1,1,3.7
wl-kg,The World Literature Knowledge Graph,https://kgccc.di.unito.it/sparql/,1,0.9974,1,0.56,1,1,0.93,1,1,1,1,1,1,1,0.5,0,0.62,1,1,1,1,1,3.55
ww1lod,World War 1 as Linked Open Data,http://ldf.fi/ww1lod/sparql,1,0.932,1,0.78,0,1,0.79,1,1,1,1,1,1,1,0.8,1,0.95,1,1,1,1,1,3.74
yso,YSO - General Finnish Ontology,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
zbw-pressemappe20,20th Century Press Archives,https://zbw.eu/beta/sparql/pm20/query,1,0.0002,1,0.44,0,1,0.57,1,1,1,1,1,1,1,0,1,0.75,0,1,1,1,0.75,3.07
zitgist-musicbrainz,MusicBrainz (zitgist.com),,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.31
performing-arts.ch,performing-arts.ch,https://www.performing-arts.ch/sparql,0,0.8,1,0.44,0,0,0.37,1,0,1,0,0.5,1,1,0,1,0.75,1,1,1,1,1,2.62
MiMoTextBase,MiMoTextBase,https://query.mimotext.uni-trier.de/,1,0,1,0.33,1,1,0.72,0.5,0,0,1,0.38,1,0,0,0,0.25,0,1,1,0,0.5,1.85
NLS,National Library of Sweden,https://libris.kb.se/sparql,0,0.2,1,0.22,0,1,0.4,1,0,1,1,0.75,1,0,0,0,0.25,0,1,1,0,0.5,1.9
Japan-Search,Japan Search,https://jpsearch.go.jp/rdf/sparql/,0,0.2,1,0.44,0,0,0.27,1,0,1,0,0.5,1,1,0,1,0.75,1,1,1,1,1,2.52
Rijksmuseum,Rijksmuseum Collection,https://data.netwerkdigitaalerfgoed.nl/Rijksmuseum/collection/sparql,0,0,1,0.33,0,0,0.22,0.5,0,0,0,0.12,1,0,0,0,0.25,1,1,1,0,0.75,1.34
FI-Library,Finnish Public Libraries,https://data.nationallibrary.fi/bib/sparql,0,1,1,0.33,0,0,0.39,1,0,1,0,0.5,1,0,0,1,0.5,0,1,1,0,0.5,1.89
Shanghai-Library-Open-Data-Platform,Shanghai Library Open Data Platform,https://data.library.sh.cn/sparql/,0,0,1,0.44,0,0,0.24,1,0,1,0,0.5,1,1,0,1,0.75,1,1,1,1,1,2.49
National-Library-Netherlands,National Library Netherlands,https://data.bibliotheken.nl/KB/Production/sparql,0,0,1,0.44,0,1,0.41,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.16
Antique-Renaissance,Database of the Census of Antique Works of Art and Architecture Known in the Renaissance,https://censussparql.culture.hu-berlin.de/#/dataset/CENSUS/query,0,0,1,0.22,0,0,0.2,0.5,0,0,0,0.12,1,0,0,0,0.25,0,1,1,0,0.5,1.07
ARTSDATA-CA,ARTSDATA.CA,https://artsdata-trifid-production.herokuapp.com/sparql/,0,0,1,0.33,0,1,0.39,0.5,0,0,1,0.38,1,0,0,0,0.25,1,1,1,0,0.75,1.77
ArCo,Architecture of Knowledge,http://wit.istc.cnr.it/arco/virtuoso/sparql,1,0,1,0.44,1,1,0.74,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.99
ConfermentSampo,ConfermentSampo,http://ldf.fi/promootiosampo/sparql,0,1,1,0.44,0,0,0.41,1,1,1,0,0.75,1,1,0,1,0.75,1,1,1,1,1,2.91
FI-Museum,Museum Finland,http://ldf.fi/mufi/sparql,0,0,1,0.33,0,0,0.22,1,0,1,0,0.5,1,0,0,0,0.25,1,1,1,0,0.75,1.72
MMM,Mapping Manuscript Migrations,http://ldf.fi/mmm/sparql,1,0.9938,1,0.56,1,1,0.93,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.68
Semantic-Kalevala,Semantic Kalevala,http://ldf.fi/folklore/sparql,0,0.8944,1,0.44,0,0,0.39,1,0,1,0,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.14
Smithsonian,Smithsonian American Art Museum,http://edan.si.edu/saam/sparql,0,1,1,0.33,0,1,0.56,1,0,1,1,0.75,1,0,0,0,0.25,1,1,1,0,0.75,2.31
Zeri-Photo-Archive,Zeri Photo Archive,http://data.fondazionezeri.unibo.it/sparql,0,0,1,0.33,0,1,0.39,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.64
Archives-Hub,Archives Hub,http://data.archiveshub.ac.uk/sparql,1,0,1,0.33,1,1,0.72,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.72
Yale,Yale centre of British Art,http://collection.britishart.yale.edu/sparql/,0,0,1,0.33,0,0,0.22,0,0,0,0,0,1,0,0,0,0.25,1,1,1,0,0.75,1.22
ADL,Alexandria Digital Library Gazetteer,http://adl-gazetteer.geog.ucsb.edu:8080/sparql/select,0,0,1,0.22,0,0,0.2,0,0,0,0,0,1,0,0,0,0.25,0,1,1,0,0.5,0.95
MusicKG,MusicKG,,0,0,0,0.11,0,1,0.19,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.19
CIDOC-CRM,CIDOC-CRM,,1,0,0,0.22,1,1,0.54,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.54
Mondis,Mondis,,0,0,0,0.11,0,0,0.02,0,0,0,0,0,1,0,0,0,0.25,0,1,1,0,0.5,0.77
DigitalNZ,DigitalNZ,,0,0,0,0.22,0,0,0.04,0,0,0,0,0,1,0,0,0,0.25,1,1,1,0,0.75,1.04
Fondazione-Zeri,Fondazione Zeri,,0,0,0,0.22,0,0,0.04,0,0,0,0,0,1,0,0,0,0.25,1,1,1,0,0.75,1.04
Library-of-America,Digital Public Library of America,,0,0,0,0.22,0,1,0.2,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.45
Auckland-Museum,Auckland Museum,,0,0,0,0.11,0,1,0.19,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.19
BNE,National Library of Spain,,0,0,0,0.22,0,0,0.04,0,0,0,0,0,1,0,0,0,0.25,1,1,1,0,0.75,1.04
Korea-Library,National Library of Korea,,0,0,0,0.11,0,0,0.02,0,0,0,0,0,1,0,0,0,0.25,0,1,1,0,0.5,0.77
Russian-Museum,The State Russian Museum,,0,0,0,0.11,0,0,0.02,0,0,0,0,0,1,0,0,0,0.25,0,1,1,0,0.5,0.77
National-Library-of-Scotland,National Library of Scotland,,0,0,0,0.22,0,1,0.2,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.45
Epigraphic-Database-Heidelberg,Epigraphic Database Heidelberg,,1,0,0,0.33,1,1,0.56,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.81
OntoComedySources,OntoComedySources,,0,0,0,0.11,0,1,0.19,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.19
OntoCeramic-2.0,OntoCeramic 2.0,,0,0,0,0.11,0,1,0.19,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.19
SaintGall-Ontology,SaintGall Ontology,,0,0,0,0.11,0,0,0.02,0,0,0,0,0,1,0,0,0,0.25,0,1,1,0,0.5,0.77
Linguistic-Phenomena-Ontology,Linguistic Phenomena Ontology,,0,0,0,0.11,0,1,0.19,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.19
ICON,ICON,,1,0,0,0.33,1,1,0.56,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.81
Polifonia,Polifonia,,0,0,0,0.22,0,1,0.2,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.45
Atlas-of-Paths,Atlas of Paths Ontology - Italian Application Profile,,1,0,0,0.22,1,1,0.54,0,0,0,1,0.25,1,0,0,0,0.25,0,1,1,0,0.5,1.54
Music-Note-Ontology,Music Note Ontology,,0,0,0,0.22,0,1,0.2,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.45
HaMSE,HaMSE,,0,0,0,0.22,0,1,0.2,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.45
FOod,FOOD: FOod in Open Data,,0,0,0,0.22,0,0,0.04,0,0,0,0,0,1,0,0,0,0.25,1,1,1,0,0.75,1.04
ATLAS-Italian-Digital-CH,The ATLAS of Italian Digital Cultural Heritage,,1,0,0,0.33,1,1,0.56,0,0,0,1,0.25,1,0,0,0,0.25,1,1,1,0,0.75,1.81
ARIADNE,ARIADNEplus Knowledge Base,https://ariadne.d4science.org/group/ariadneplus_lab/graphdb,0,0,1,0.33,0,1,0.39,0.5,0,0,1,0.38,1,0,0,0,0.25,1,1,1,0,0.75,1.77
BFOntology,Basic Formal Ontology (BFO),,1,0,1,0.67,1,0,0.61,1,0,0,0,0.25,0,1,0,0,0.25,1,1,0,1,0.75,1.86
DOLCE,DOLCE : Descriptive Ontology for Linguistic and Cognitive Engineering,,1,0,1,0.56,1,0,0.59,1,0,0,0,0.25,0,1,0,0,0.25,0,1,0,1,0.5,1.59
Odeuropa,Odeuropa Ontology,,1,0,1,0.67,1,0,0.61,1,0,0,0,0.25,0,1,0,0,0.25,1,1,0,1,0.75,1.86
UFOntology,Unified Foundational Ontology (UFO),,1,0,1,0.56,1,0,0.59,1,0,0,0,0.25,0,1,0,0,0.25,0,1,0,1,0.5,1.59
