id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
b3kat,"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",http://lod.b3kat.de,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.57
dewey_decimal_classification,Dewey Decimal Classification (DDC),http://dewey.info,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
lobid-resources,lobid-Bibliographic Resources,http://lobid.org/resource,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
dm2e,DM2E,absent,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
dbpedia,DBpedia,http://dbpedia.org/,,,,,,,,,,,,,,,,,,,,,,,
lcsh,Library of Congress Subject Headings,http://id.loc.gov/authorities/,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
dcs-sheffield,data.dcs,http://data.dcs.shef.ac.uk/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.76
fu-berlin-dblp,DBLP Bibliography Database in RDF (FU Berlin),http://www4.wiwiss.fu-berlin.de/dblp/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
rkb-explorer-nsf,National Science Foundation (RKBExplorer),http://nsf.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-acm,Association for Computing Machinery (ACM) (RKBExplorer),http://acm.rkbexplorer.com/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-citeseer,CiteSeer (Research Index) (RKBExplorer),http://citeseer.rkbexplorer.com/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-curriculum,ReSIST MSc in Resilient Computing Curriculum (RKBExplorer),http://curriculum.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-dblp,DBLP Computer Science Bibliography (RKBExplorer),http://dblp.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-eprints,ePrints3 Institutional Archive Collection (RKBExplorer),http://eprints.rkbexplorer.com/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-irit,Université Paul Sabatier - Toulouse 3 (RKB Explorer),http://irit.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-newcastle,University of Newcastle upon Tyne (RKBExplorer),http://newcastle.rkbexplorer.com,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
rkb-explorer-rae2001,Research Assessment Exercise 2001 (RKBExplorer),http://rae2001.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-southampton,"School of Electronics and Computer Science, University of Southampton (RKBExplorer)",http://southampton.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-wiki,ReSIST Project Wiki (RKBExplorer),http://wiki.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
sweto-dblp,SwetoDblp,http://knoesis.wright.edu/library/ontologies/swetodblp/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.03
dws-group,DWS-Group,http://dws.informatik.uni-mannheim.de/,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
semantic-web-dog-food,Semantic Web Dog Food Corpus,http://data.semanticweb.org,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
medline,medline,http://purl.org/okfn/medline,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
doi,CrossRef DOI Resolver,http://dx.doi.org,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
mismuseos-gnoss,"Mis Museos, índice semántico de museos, artistas y obras de arte (GNOSS)",http://mismuseos.net/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
zbw-pressemappe20,20th Century Press Archives,http://zbw.eu/beta/p20,1,0.0002,1,0.67,1,1,0.78,1,1,1,1,1,0,1,0,1,0.5,0,1,0,1,0.5,2.78
freeyork-org,Freeyork,https://freeyork.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
fu-berlin-project-gutenberg,Project Gutenberg in RDF (FU Berlin),http://www4.wiwiss.fu-berlin.de/gutendata/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
zbw-labs,ZBW Labs,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
libris,LIBRIS,http://libris.kb.se,1,0.2,1,0.89,1,1,0.85,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.1
viaf,VIAF: The Virtual International Authority File,http://viaf.org/viaf/data/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
rkb-explorer-budapest,Budapest University of Technology and Economics (RKBExplorer),http://budapest.rkbexplorer.com/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-courseware,Resilient Computing Courseware (RKBExplorer),http://courseware.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-deepblue,Deep Blue (RKBExplorer),http://deepblue.rkbexplorer.com,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
rkb-explorer-dotac,dotAC (RKBExplorer),http://dotac.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-epsrc,epsrc,http://epsrc.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-eurecom,Institut Eurécom (RKBExplorer),http://eurecom.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ft,France Telecom Recherche et Développement (RKBExplorer),http://ft.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ibm,IBM Research GmbH (RKBExplorer),http://ibm.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ieee,IEEE Papers (RKBExplorer),http://ieee.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-kisti,Korean Institute of Science Technology and Information (RKBExplorer),http://kisti.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-laas,LAAS-CNRS (RKBExplorer),http://laas.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-oai,Open Archive Initiative Harvest over OAI-PMH (RKBExplorer),http://oai.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
rkb-explorer-pisa,Università di Pisa (RKBExplorer),http://pisa.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-resex,ReSIST Resilience Mechanisms (RKBExplorer.com),http://resex.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-risks,RISKS Digest (RKBExplorer),http://risks.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-roma,"Università degli studi di Roma ""La Sapienza"" (RKBExplorer)",http://roma.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ulm,Universität Ulm (RKBExplorer),http://ulm.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
southampton-ecs-eprints,ECS Southampton EPrints,http://eprints.ecs.soton.ac.uk/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.03
rkb-explorer-italy,Diverse Italian ReSIST Partner Institutions (RKBExplorer),http://italy.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-lisbon,Fundação da Faculdade de Ciencas da Universidade de Lisboa (RKBExplorer),http://lisbon.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
gutenberg,Project Gutenberg,http://www.gutenberg.org/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
open-library,Open Library,http://openlibrary.org/,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
ww1lod,World War 1 as Linked Open Data,absent,1,0.927385477,1,1,1,1,0.99,1,1,1,1,1,1,1,0,1,0.75,0,1,0.8,1,0.7,3.44
twc-opendap,twc-opendap,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
rism-authorities,RISM Authority data,absent,1,1,1,0.89,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.73
rkb-explorer-era,ERA - Australian Research Council publication ratings (RKBExplorer),http://era.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
stw-thesaurus-for-economics,STW Thesaurus for Economics,http://zbw.eu/stw,1,0.8582,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0.4,1,0.85,3.83
german-labor-law-thesaurus,German labor law thesaurus,http://vocabulary.wolterskluwer.de/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
gesis-thesoz,TheSoz Thesaurus for the Social Sciences (GESIS),http://lod.gesis.org/thesoz/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
periodo,PeriodO Period Gazetteer,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
shoah-victims-names,Shoah victims? names,absent,1,0.9724,1,0.78,1,1,0.96,1,1,1,1,1,1,0,0,1,0.5,0,1,0,1,0.5,2.96
reload,Repository for Linked Open Archival Data,absent,1,0.9828,1,0.89,1,1,0.98,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.23
amsterdam-museum-as-edm-lod,Amsterdam Museum as Linked Open Data in the Europeana Data Model,http://semanticweb.cs.vu.nl/lod/am/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
rkb-explorer-deploy,DEPLOY (RKBExplorer),http://deploy.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-jisc,UK JISC (RKBExplorer),http://jisc.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
ub-mannheim-linked-data,Linked Data Service der Universitätsbibliothek Mannheim,http://data.bib.uni-mannheim.de/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
rdf-book-mashup,RDF Book Mashup,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
hungarian-national-library-catalog,Hungarian National Library (NSZL) catalog,http://nektar.oszk.hu/wiki/Semantic_web,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
